wkr_nummer,wkr_name,land,land_nr,wbr,waehlende,gueltige,cdu,spd,afd,fdp,linke,gruene,csu,cdu_perc,spd_perc,afd_perc,fdp_perc,linke_perc,gruene_perc,csu_perc,wbt,auslaender,bevdichte,wohnflaeche,abitur,einkommen,bip,sozbesch,sgbII,alq,alter18_24,alter_25_34,==...,ost,alter18_34
158,Sächsische Schweiz-Osterzgebirge,SN,14,199703,154159,152154,26028,23545,48580,17814,11653,8023,NA,17.10635277416302,15.474453514202716,31.92817803015366,11.70787491620332,7.658687908303429,5.27294714565506,NA,76.19014236140669,2.9,148.5,42.5,29.3,20914,23650,323.9,45.4,5.6,4.6,8.9,TRUE,ost,13.5
159,Dresden I,SN,14,228643,181120,179726,27710,34125,32122,21989,18910,27369,NA,15.417913935657612,18.98723612610307,17.872761870847846,12.2347350967584,10.521571725849348,15.228180675027541,NA,78.60551164916485,9.8,3707.1,38.2,43,20112,40524,486.5,70.4,6.7,8.5,15.9,TRUE,ost,24.4
160,Dresden II – Bautzen II,SN,14,234432,189409,188005,26037,30620,36003,22884,20913,31265,NA,13.849099757985158,16.28680088295524,19.15002260578176,12.172016701683466,11.123640328714663,16.629876864976996,NA,80.19596300846301,5.2,723,38.8,41,20194,38283,469.4,66.6,6.6,7.9,14.8,TRUE,ost,22.700000000000003
161,Mittelsachsen,SN,14,193828,147733,145992,25603,27000,43821,16897,11687,6822,NA,17.53726231574333,18.494164063784314,30.016028275521943,11.573921858731985,8.005233163461012,4.672858786782838,NA,75.32038714736777,4,143.4,43.7,28.8,20571,27181,356.6,46.2,5.5,5.1,9.8,TRUE,ost,14.9
162,Chemnitz,SN,14,188691,140700,139579,20713,32616,30089,15781,15008,12680,NA,14.839624871936321,23.367412003238307,21.556967738699946,11.306142041424568,10.7523338037957,9.084461129539543,NA,73.9722615281068,8.5,1114.4,42.2,34.9,20366,35961,471.5,81.1,7.9,6.5,13,TRUE,ost,19.5
163,Chemnitzer Umland – Erzgebirgskreis II,SN,14,177211,137423,135982,24662,27518,37181,15117,11166,6138,NA,18.13622391198835,20.236501889956024,27.342589460369755,11.116912532541072,8.211380918062684,4.513832713153212,NA,76.7345142231577,1.9,237.2,44,29.9,20705,27194,362.1,46,5.3,4.5,8.3,TRUE,ost,12.8
164,Erzgebirgskreis I,SN,14,210941,161756,159635,31340,28848,48794,16210,12078,5194,NA,19.632286152786044,18.071224981990163,30.565978638769693,10.154414758668212,7.5660099602217565,3.2536724402543302,NA,75.6775591279078,2.3,164.4,42.7,28.3,20492,23770,338.7,39.9,5.3,4.7,8.2,TRUE,ost,12.899999999999999
165,Zwickau,SN,14,197831,147142,145546,27024,30718,36601,15431,13629,7134,NA,18.56732579390708,21.105355008038696,25.147376087285117,10.602146400450717,9.364049853654514,4.901543154741456,NA,73.570876151867,3.9,321.8,44.5,32.6,21056,30930,392.2,52.4,5.3,5.1,9.5,TRUE,ost,14.6
166,Vogtlandkreis,SN,14,184973,137816,136143,26782,30436,34112,13708,12058,6263,NA,19.6719625687696,22.355905187927398,25.05600728645615,10.06882469168448,8.856863738862813,4.600309968195206,NA,73.60155265903673,3.8,160,46.6,30,20424,25660,358.1,48,6.1,4.7,8.7,TRUE,ost,13.399999999999999
167,Waldeck,HE,6,184073,138130,136043,30392,49064,12899,15288,4441,14775,NA,22.339995442617408,36.06506766243026,9.481560977044023,11.237623398484303,3.2644090471395075,10.860536742059496,NA,73.90709120837928,8.2,108.1,51.2,22.9,22818,33576,354.2,44.5,4.4,7,10.6,TRUE,west,17.6
