wkr_nummer,wkr_name,land,land_nr,wbr,waehlende,gueltige,cdu,spd,afd,fdp,linke,gruene,csu,cdu_perc,spd_perc,afd_perc,fdp_perc,linke_perc,gruene_perc,csu_perc,wbt,auslaender,bevdichte,wohnflaeche,abitur,einkommen,bip,sozbesch,sgbII,alq,alter18_24,alter_25_34,==...,ost,alter18_34
282,Lörrach – Müllheim,BW,8,231076,174064,172569,38501,41834,14195,24669,5532,32817,NA,22.310496091418504,24.241897443920983,8.225695229154715,14.295151504615545,3.2056742520383152,19.016741129635104,NA,74.680624556423,14.8,280.7,45.8,31.5,26699,32707,336.4,39,4.7,7.2,11.9,TRUE,west,19.1
283,Emmendingen – Lahr,BW,8,218872,168004,166572,41323,39727,14971,22136,5209,28724,NA,24.80789088202099,23.849746656100663,8.987705016449343,13.289148236198162,3.1271762361021063,17.244194702591074,NA,76.10475529076355,11.6,247.6,45,25.2,23747,36655,370,33.5,3.8,7.5,11.9,TRUE,west,19.4
284,Offenburg,BW,8,205893,156776,155200,40210,33043,15320,22799,4423,23083,NA,25.908505154639176,21.290592783505154,9.871134020618557,14.69007731958763,2.8498711340206184,14.87306701030928,NA,75.37895897383594,12,254.4,46.7,28.7,23948,41282,426,36.6,4,7.6,12.2,TRUE,west,19.799999999999997
285,Rottweil – Tuttlingen,BW,8,198182,149664,147813,40818,27523,19747,26768,3320,16036,NA,27.61462117675712,18.620148430787552,13.359447409903053,18.109367917571525,2.246081197188339,10.84884279461211,NA,74.58447285828179,14.6,186.6,47,25.6,25665,47601,444.3,30.1,3.7,7.8,12.4,TRUE,west,20.2
286,Schwarzwald-Baar,BW,8,162800,122862,121522,32309,25814,13097,19696,3062,16181,NA,26.586955448396175,21.242244202695808,10.777472391830285,16.207764849163116,2.5197083655634374,13.31528447523905,NA,74.64496314496316,15.5,184.2,45.4,24.3,24906,40292,413,37.8,4.6,7.6,12.4,TRUE,west,20
287,Konstanz,BW,8,206009,157563,156400,36209,32657,13341,23509,5804,32913,NA,23.15153452685422,20.880434782608695,8.53005115089514,15.031329923273656,3.710997442455243,21.044117647058826,NA,75.91901324699406,15.4,350,44.8,30.5,25486,35093,360.6,41.4,4.7,9.7,12.9,TRUE,west,22.6
288,Waldshut,BW,8,177275,136195,135022,35595,30782,11265,18422,3895,23294,NA,26.36237057664677,22.797766289937936,8.343084830620196,13.64370250773948,2.884715083467879,17.252003377227414,NA,76.16527993230856,14.7,134.1,48,24.1,25384,30901,319.8,32,4.2,7.5,11.6,TRUE,west,19.1
289,Reutlingen,BW,8,199189,153820,152575,39504,31535,15652,25288,5081,24197,NA,25.891528756349334,20.668523676880223,10.258561363263969,16.574143863673605,3.330165492380796,15.85908569555956,NA,76.59810531706069,15.9,262.7,44.2,29.9,24763,40454,401.5,41.8,4.6,7.9,12.2,TRUE,west,20.1
290,Tübingen,BW,8,198791,160835,159781,34775,32576,12548,22678,8231,37424,NA,21.764164700433717,20.38790594626395,7.853249134753193,14.19317691089679,5.151426014357152,23.422058943178474,NA,80.37637518801152,13.7,353,43.9,37.5,23995,34329,370.5,32.8,3.6,10.5,14.7,TRUE,west,25.2
291,Ulm,BW,8,223376,177537,176165,46805,36418,16046,25389,5377,31238,NA,26.568841710896034,20.672664831266143,9.108506229954871,14.412056878494592,3.0522521499730364,17.73223966168081,NA,78.86478404125779,16.2,219.2,44.8,30.7,24607,49780,468.6,32,3.7,8.8,14.1,TRUE,west,22.9
292,Biberach,BW,8,169147,133345,132230,40472,23152,14308,19163,2967,18070,NA,30.60727520229902,17.508886031914088,10.820539968237162,14.492172729335248,2.2438175905618998,13.665582696816154,NA,78.1746055206418,10.9,131.9,48.1,22.5,24084,51858,431.4,22.3,2.9,7.8,12.6,TRUE,west,20.4
293,Bodensee,BW,8,174430,137838,136848,36571,26989,11916,21611,3905,23635,NA,26.723810358938383,19.7218812112709,8.707471062784988,15.791973576522858,2.8535309248217002,17.27098678826143,NA,78.45439431290488,13.6,277.9,46.7,28.2,26222,50142,426,27.7,3.6,7.5,11.9,TRUE,west,19.4
294,Ravensburg,BW,8,187817,147020,145978,38927,27750,12650,21740,4735,25536,NA,26.666346983792078,19.00971379248928,8.665689350450068,14.892655057611421,3.243639452520243,17.4930468974777,NA,77.72352875405315,11.6,198.1,44.2,25.9,24132,45098,424.1,29.9,3.4,8.5,12.9,TRUE,west,21.4
295,Zollernalb – Sigmaringen,BW,8,182648,138084,136540,39332,26716,16477,23200,3540,15503,NA,28.806210634246376,19.566427420536105,12.067525999707046,16.991357843855283,2.592646843415849,11.354181924710707,NA,74.75581446279182,12.3,150.2,48.5,23.6,24495,36869,369.7,27.6,4.1,7.9,12.1,TRUE,west,20
296,Saarbrücken,SL,10,192929,142697,140474,28797,53537,13006,16438,13484,NA,NA,20.499878981163775,38.11167902957131,9.258652846790154,11.701809587539332,9.598929339237154,NA,NA,72.81124144115194,16.4,833.3,47.9,36,19205,44904,460.7,131.8,10.3,8.3,13.9,TRUE,west,22.200000000000003
297,Saarlouis,SL,10,203279,159170,156279,38085,56920,15651,18872,10512,NA,NA,24.369876950837924,36.42204006936313,10.014781256598775,12.075838724332764,6.72643157429981,NA,NA,76.87906768529952,10.9,293.8,55.7,35.2,20022,30444,339.7,55,5.7,6.7,11.3,TRUE,west,18
298,St. Wendel,SL,10,173074,139808,137032,36248,51229,12904,14916,7887,NA,NA,26.45221554089556,37.38469846459221,9.416778562671494,10.885048747737756,5.755589935197618,NA,NA,79.17538162866751,6.5,265.1,56.5,30.9,20799,30272,329.8,69.6,6.3,6.4,10.9,TRUE,west,17.3
299,Homburg,SL,10,185941,142288,139883,32004,52091,16068,15719,9247,NA,NA,22.87912040776935,37.238978288998666,11.486742491939692,11.23724827176998,6.610524509768878,NA,NA,75.2297771873874,10.9,437.1,52.7,34.8,21301,37042,421.5,78.9,7,7,11.4,TRUE,west,18.4
